file_path,tier,parent_file
docs/requires/requirement_list.md,0,
docs/components/core/os_coos.md,1,docs/requires/requirement_list.md
docs/components/core/os_scheduler.md,1,docs/requires/requirement_list.md
docs/components/core/system_config.md,1,docs/requires/requirement_list.md
docs/components/core/system_config_details.md,1,docs/requires/requirement_list.md
docs/components/core/system_logging.md,1,docs/requires/requirement_list.md
docs/components/core/system_syscall.md,1,docs/requires/requirement_list.md
docs/components/interface/interface_wit.md,1,docs/requires/requirement_list.md
docs/components/interface/ipc_router.md,1,docs/requires/requirement_list.md
docs/components/interface/system_service.md,1,docs/requires/requirement_list.md
docs/components/jit/jit_assembler_constexpr.md,2,docs/requires/requirement_list.md
docs/components/jit/jit_compiler.md,2,docs/requires/requirement_list.md
docs/components/jit/jit_engine_copy_patch.md,2,docs/requires/requirement_list.md
docs/components/jit/jit_runtime_entry.md,2,docs/requires/requirement_list.md
docs/components/jit/jit_runtime_hotspot.md,2,docs/requires/requirement_list.md
docs/components/platform/platform_hal.md,3,docs/requires/requirement_list.md
docs/components/platform/platform_memory.md,3,docs/requires/requirement_list.md
docs/components/runtime/debug/debug_gdb_rsp.md,2,docs/requires/requirement_list.md
docs/components/runtime/debug/debug_manager.md,2,docs/requires/requirement_list.md
docs/components/runtime/runtime_interpreter.md,2,docs/requires/requirement_list.md
docs/components/runtime/runtime_loader.md,2,docs/requires/requirement_list.md
docs/components/runtime/runtime_vmmio.md,2,docs/requires/requirement_list.md
docs/components/runtime/runtime_vsoc.md,2,docs/requires/requirement_list.md
docs/components/runtime/wasm_instruction.md,2,docs/requires/requirement_list.md
